t,c,w,R,Rate_c,Rate_w,
40.2,1.,-1.1814794190846e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769332166225e+029,
40.3,1.,-1.1814806881339e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769328993602e+029,
40.4,1.,-1.1814819258503e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769325899311e+029,
40.5,1.,-1.1814831330073e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769322881419e+029,
40.6,1.,-1.1814843103596e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769319938038e+029,
40.7,1.,-1.1814854586429e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.476931706733e+029,
40.8,1.,-1.1814865785749e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.47693142675e+029,
40.9,1.,-1.1814876708558e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769311536797e+029,
41.,1.,-1.1814887361682e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769308873516e+029,
41.1,1.,-1.1814897751779e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769306275992e+029,
41.2,1.,-1.1814907885343e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769303742601e+029,
41.3,1.,-1.1814917768709e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.476930127176e+029,
41.4,1.,-1.1814927408054e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769298861923e+029,
41.5,1.,-1.1814936809402e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769296511586e+029,
41.6,1.,-1.1814945978631e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769294219279e+029,
41.7,1.,-1.181495492147e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769291983569e+029,
41.8,1.,-1.181496364351e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769289803059e+029,
41.9,1.,-1.1814972150202e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769287676386e+029,
42.,1.,-1.1814980446863e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769285602221e+029,
42.1,1.,-1.1814988538678e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769283579267e+029,
42.2,1.,-1.1814996430706e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.476928160626e+029,
42.3,1.,-1.181500412788e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769279681967e+029,
42.4,1.,-1.1815011635009e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769277805185e+029,
42.5,1.,-1.1815018956786e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.476927597474e+029,
